sample_id,rows,cols,dist_type,posit_n,posit_es,abs_err,rel_err,fp32_abs_err,fp32_rel_err,x_mean,x_std,x_p1,x_p50,x_p99,y_mean,y_std,y_p1,y_p50,y_p99
13,16,16,0,8,2,0.49788,0.0242893,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,16,0,0.00212019,0.000103434,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,16,1,0.00212019,0.000103434,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,16,2,0.0135048,0.00065884,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,32,0,1.69028e-07,8.24613e-09,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,32,1,6.93904e-08,3.38525e-09,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
13,16,16,0,32,2,6.93904e-08,3.38525e-09,7.84646e-07,3.82794e-08,-0.121953,0.963072,0.0106422,0.760173,2.4272,0.287851,0.952043,0.0337253,0.792369,1.76099
14,16,16,0,8,0,0.790769,0.136557,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,8,1,0.790769,0.136557,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,8,2,1.79077,0.309245,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,16,0,0.000246579,4.25814e-05,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,16,1,0.000246579,4.25814e-05,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,16,2,0.0100122,0.00172899,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,32,0,9.47346e-08,1.63596e-08,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,32,1,1.43684e-07,2.48126e-08,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
14,16,16,0,32,2,3.51299e-08,6.06654e-09,5.31114e-07,9.17174e-08,0.0165044,1.02175,0.0125814,0.670212,2.58037,-0.132897,0.965642,0.0831687,0.90981,1.4646
15,16,16,0,8,0,3.20187,0.166748,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,8,1,3.20187,0.166748,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,8,2,0.798135,0.0415655,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,16,0,0.0168849,0.000879335,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,16,1,0.00125988,6.56122e-05,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,16,2,0.00125988,6.56122e-05,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,32,0,7.27101e-08,3.78662e-09,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
15,16,16,0,32,1,1.65708e-07,8.62981e-09,1.02638e-06,5.34523e-08,-0.0373323,1.00428,0.00646418,0.643324,2.39368,-0.111985,0.893461,0.00272021,0.617456,1.59464
